datetime;uc01;uc02;uc03;uc04
10.01.2019 11:00:00;3226,450813827;2826,516337858;2337,172218405;2778,944440399
10.01.2019 12:00:00;3340,688161291;2951,897077400;2508,393589255;2783,177777283
10.01.2019 13:00:00;3406,279131286;2942,513943683;2621,756184907;2940,419925595
10.01.2019 14:00:00;3750,032360160;3133,049710745;2396,309729492;3190,203998281
10.01.2019 15:00:00;4246,460606115;3507,058966492;2476,058358621;3391,832864419
10.01.2019 16:00:00;4646,901590575;3799,723877190;2955,393123393;3725,469604523
10.01.2019 17:00:00;5065,120677641;4225,747058403;2817,831982964;3743,034918517
10.01.2019 18:00:00;5199,939728811;4164,195511187;3225,903391677;3714,999787118
10.01.2019 19:00:00;4907,878688441;4013,467553313;3442,086523786;3545,520045798
10.01.2019 20:00:00;4602,142928210;3733,479719988;3047,552479150;3209,266028244
10.01.2019 21:00:00;4155,924653553;3512,938741823;3112,615137371;2999,683310445
10.01.2019 22:00:00;3866,933801364;3318,472941739;2764,247901859;3012,729300704
10.01.2019 23:00:00;3748,316175025;3219,556846626;2568,953786832;2771,361009312
11.01.2019 0:00:00;3348,984707304;2946,033266061;2530,552580327;2522,646878397
11.01.2019 1:00:00;2977,928348805;2690,826724203;2564,703154022;2312,045146027
11.01.2019 2:00:00;2590,765546406;2404,825089635;2372,387254453;2141,173686320
11.01.2019 3:00:00;2266,496649099;2179,164279631;2222,742064224;2117,723049099
11.01.2019 4:00:00;2222,097824874;2149,615726572;2117,055282891;2157,278126411
11.01.2019 5:00:00;2318,002817011;2225,661874915;2083,743522360;2236,383216985
11.01.2019 6:00:00;2410,196176348;2283,398489692;2131,038866321;2286,196727757
11.01.2019 7:00:00;2483,681807016;2331,450577147;2133,902985658;2343,856866081
11.01.2019 8:00:00;2579,871770703;2374,644521332;2142,832903927;2465,482115515
11.01.2019 9:00:00;2769,687683182;2535,333023996;2182,402398621;2579,128916786
11.01.2019 10:00:00;2999,495799666;2715,016757797;2239,031102587;2689,877850732
11.01.2019 11:00:00;3244,079202673;2834,161204473;2348,758878557;2792,839285302
11.01.2019 12:00:00;3375,165180692;2945,462222547;2486,385197008;2901,271809995
11.01.2019 13:00:00;3625,032151089;3109,974103247;2601,962297069;2994,911860096
11.01.2019 14:00:00;3686,664307296;3173,122864376;2709,545485246;3178,679046861
11.01.2019 15:00:00;4248,273201067;3515,654069602;2705,353045994;3528,781855319
11.01.2019 16:00:00;4789,246182766;3915,789781255;2877,986157052;3669,535094756
11.01.2019 17:00:00;4967,948945512;4099,677898667;3198,169628257;3694,163445744
11.01.2019 18:00:00;5005,246310472;4065,113129208;3226,255208829;3361,289744054
11.01.2019 19:00:00;4484,988497664;3712,013796012;3143,810012998;3075,844770274
11.01.2019 20:00:00;4180,785134380;3521,647149326;2754,540725708;3029,569712130
11.01.2019 21:00:00;3998,790005603;3320,523574474;2957,229026617;2991,386278540
11.01.2019 22:00:00;3782,415445686;3229,120479554;2791,446801878;2950,629362818
11.01.2019 23:00:00;3691,044196724;3183,824625805;2521,981359742;2701,107077880
12.01.2019 0:00:00;3517,183454772;3032,332123041;2628,609854462;2793,209978491
12.01.2019 1:00:00;3383,595406017;2971,062785389;2489,581771132;2537,184492337
12.01.2019 2:00:00;2960,727381681;2641,182738150;2611,844667544;2362,735196528
12.01.2019 3:00:00;2619,895407657;2433,784841863;2296,655491813;2217,518533257
12.01.2019 4:00:00;2440,743842177;2293,072526026;2214,393949940;2284,365597757
12.01.2019 5:00:00;2470,138786243;2320,938921637;2183,369751136;2415,978876548
12.01.2019 6:00:00;2685,349360637;2477,627870203;2141,765170847;2434,958427957
12.01.2019 7:00:00;2827,858904233;2550,063331007;2255,956643398;2578,423379876
12.01.2019 8:00:00;3015,187081120;2701,956312216;2232,995896775;2748,450511274
12.01.2019 9:00:00;3337,552338840;2945,362040092;2447,816031654;2918,787713907
12.01.2019 10:00:00;3689,193269832;3139,96596633;2550,634786888;2971,167628837
12.01.2019 11:00:00;3964,771412381;3376,032865837;2658,186760657;3290,783220441
12.01.2019 12:00:00;4251,068049421;3573,154353020;2846,314385307;3320,309316868
